"","wijk_code","n","wijk_name"
"1","WK168000","3590","Wijk 00 Annen"
"2","WK168001","1460","Wijk 01 Eext"
"3","WK168002","390","Wijk 02 Anloo"
"4","WK168003","390","Wijk 03 Gasteren"
"5","WK168004","260","Wijk 04 Anderen"
"6","WK168005","615","Wijk 05 Schipborg"
"7","WK168006","475","Wijk 06 Eexterveen"
"8","WK168007","145","Wijk 07 Spijkerboor"
"9","WK168008","115","Wijk 08 Nieuw-Annerveen"
"10","WK168009","115","Wijk 09 Oud-Annerveen"
"11","WK168011","405","Wijk 11 Annerveenschekanaal"
"12","WK168012","230","Wijk 12 Eexterveenschekanaal"
"13","WK168013","120","Wijk 13 Eexterzandvoort"
"14","WK168014","1865","Wijk 14 Gasselte"
"15","WK168015","1860","Wijk 15 Gasselternijveen"
"16","WK168016","670","Wijk 16 Gasselternijveenschemond"
"17","WK168017","4965","Wijk 17 Gieten"
"18","WK168018","1255","Wijk 18 Gieterveen"
"19","WK168019","4975","Wijk 19 Rolde"
"20","WK168020","1415","Wijk 20 Grolloo"
"21","WK168021","525","Wijk 21 Ekehaar"
"22","WK035800","13585","Wijk 00 Aalsmeer"
"23","WK035801","9255","Wijk 01 Kudelstraat en Kalslagen"
"24","WK035802","10440","Wijk 02 Oosteinde"
"25","WK019701","4045","Wijk 01 Buitengebied Aalten"
"26","WK019702","1960","Wijk 02 Bredevoort"
"27","WK019703","12990","Wijk 03 Aalten Kern"
"28","WK019704","8315","Wijk 04 Dinxperlo"
"29","WK005900","12140","Wijk 00 Noord"
"30","WK005901","3190","Wijk 01 Centrum"
"31","WK005902","12890","Wijk 02 Zuid"
"32","WK048201","4930","Wijk 01 Centrum"
"33","WK048202","3805","Wijk 02 Kinderdijk"
"34","WK048203","7375","Wijk 03 Blokweer"
"35","WK048204","3825","Wijk 04 Souburgh"
"36","WK048205","160","Wijk 05 Bedrijventerrein"
"37","WK048206","215","Wijk 06 Landelijk gebied"
"38","WK061301","2630","Wijk 01 Poortugaal-Noord"
"39","WK061302","2025","Wijk 02 Rhoon-Noord"
"40","WK061303","7020","Wijk 03 Poortugaal-Zuid"
"41","WK061304","7030","Wijk 04 Rhoon-Zuid"
"42","WK061305","245","Wijk 05 Buitengebied Albrandswaard"
"43","WK061306","7480","Wijk 06 Portland"
"44","WK061307","0","Wijk 07 Rotterdam-Albrandswaard"
"45","WK036101","14510","Zuid"
"46","WK036102","13650","Oudorp"
"47","WK036103","8210","Overdie"
"48","WK036104","12830","West"
"49","WK036105","7725","Huiswaard"
"50","WK036106","15590","De Mare"
"51","WK036107","12720","Daalmeer/Koedijk"
"52","WK036108","9555","Centrum"
"53","WK036109","5640","Schermer"
"54","WK036110","6680","Graft-De Rijp"
"55","WK036111","5200","Vroonermeer"
"56","WK014110","5620","Binnenstad"
"57","WK014111","7130","De Riet"
"58","WK014112","6615","Noorderkwartier"
"59","WK014113","6995","Sluitersveld"
"60","WK014114","6510","Wierdense Hoek"
"61","WK014115","3255","Nieuwstraat-Kwartier"
"62","WK014116","6510","Ossenkoppelerhoek"
"63","WK014117","3745","Hofkamp"
"64","WK014118","10645","Schelfhorst"
"65","WK014119","13690","Windmolenbroek"
"66","WK014120","1530","Aadorp"
"67","WK014121","2065","Bornerbroek"
"68","WK003401","1765","Centrum Almere Haven"
"69","WK003402","2880","De Werven"
"70","WK003403","2495","De Hoven"
"71","WK003404","2200","De Meenten"
"72","WK003405","2310","De Grienden"
"73","WK003406","2995","De Marken"
"74","WK003407","2720","De Gouwen"
"75","WK003408","3655","De Wierden"
"76","WK003409","1515","De Velden"
"77","WK003410","630","Overgooi"
"78","WK003411","1145","De Laren"
"79","WK003414","70","De Steiger"
"80","WK003415","0","Stichtsekant"
"81","WK003416","10","Overig Almere Haven"
"82","WK003417","6280","Centrum Almere Stad"
"83","WK003418","10425","Filmwijk"
"84","WK003419","5640","Danswijk"
"85","WK003420","5460","Parkwijk"
"86","WK003421","3460","Verzetswijk"
"87","WK003422","7410","Waterwijk"
"88","WK003423","6030","Tussen de Vaarten Noord"
"89","WK003424","9915","Tussen de Vaarten Zuid"
"90","WK003425","2440","Staatsliedenwijk"
"91","WK003426","7935","Kruidenwijk"
"92","WK003427","10340","Stedenwijk"
"93","WK003428","11110","Muziekwijk Noord"
"94","WK003429","6260","Muziekwijk Zuid"
"95","WK003430","9695","Literatuurwijk"
"96","WK003431","8050","Noorderplassen"
"97","WK003432","245","Hortus"
"98","WK003434","15","Randstad"
"99","WK003435","45","Markerkant"
"100","WK003436","0","Hollandsekant"
"101","WK003437","155","Gooisekant"
"102","WK003438","5","Veluwsekant"
"103","WK003439","0","Sallandsekant"
"104","WK003440","0","Overig Almere Stad"
"105","WK003441","2465","Centrum Almere Buiten"
"106","WK003442","5770","Oostvaardersbuurt"
"107","WK003443","5045","Seizoenenbuurt"
"108","WK003444","3990","Molenbuurt"
"109","WK003445","4375","Bouwmeesterbuurt"
"110","WK003446","4030","Landgoederenbuurt"
"111","WK003447","4320","Faunabuurt"
"112","WK003448","5280","Bloemenbuurt"
"113","WK003449","5260","Regenboogbuurt"
"114","WK003450","3240","Indischebuurt"
"115","WK003451","6045","Eilandenbuurt"
"116","WK003452","7140","Stripheldenbuurt"
"117","WK003453","1080","Sieradenbuurt"
"118","WK003456","55","Poldervlak"
"119","WK003457","10","De Vaart"
"120","WK003458","190","Buitenvaart"
"121","WK003459","100","Overig Almere Buiten"
"122","WK003460","920","Europakwartier Oost"
"123","WK003461","4805","Europakwartier West"
"124","WK003462","3325","Columbuskwartier"
"125","WK003463","8025","Homeruskwartier"
"126","WK003464","70","Olympiakwartier Oost"
"127","WK003465","1355","Olympiakwartier West"
"128","WK003466","3310","Duin"
"129","WK003471","0","Hogekant"
"130","WK003472","5","Middenkant"
"131","WK003473","0","Lagekant"
"132","WK003474","0","Overig Almere Poort"
"133","WK003475","1605","Vogelhorst"
"134","WK003476","4070","Nobelhorst"
"135","WK003477","5230","Oosterwold"
"136","WK003479","0","Twentsekant"
"137","WK003485","80","Overig Almere Hout"
"138","WK003496","5","Overig Almere Pampus"
"139","WK048401","9720","Oudshoorn"
"140","WK048402","13500","Ridderveld"
"141","WK048403","10110","Zegersloot"
"142","WK048404","5315","Hoorn"
"143","WK048405","8255","Hoge Zijde"
"144","WK048406","9360","Lage Zijde"
"145","WK048407","885","Steekterpolder"
"146","WK048408","17955","Kerk en Zanen"
"147","WK048409","45","Rietveld"
"148","WK048431","3590","Benthuizen"
"149","WK048445","1220","Aarlanderveen"
"150","WK048470","16815","Boskoop"
"151","WK048471","1855","Zwammerdam"
"152","WK048491","6350","Hazerswoude-Dorp"
"153","WK048494","5860","Hazerswoude-Rijndijk"
"154","WK048496","4135","Koudekerk aan den Rijn"
"155","WK172301","4415","Alphen"
"156","WK172302","4255","Chaam"
"157","WK172303","335","Strijbeek"
"158","WK172304","1080","Galder"
"159","WK172305","320","Ulvenhout AC"
"160","WK172306","50","Bavel AC"
"161","WK195901","11580","Werkendam"
"162","WK195902","6120","Sleeuwijk"
"163","WK195903","3735","Nieuwendijk"
"164","WK195904","4280","Hank"
"165","WK195905","2625","Dussen"
"166","WK195906","4620","Woudrichem"
"167","WK195907","2010","Rijswijk (NB)"
"168","WK195908","350","Uitwijk"
"169","WK195909","290","Waardhuizen"
"170","WK195910","1645","Giessen"
"171","WK195911","2745","Andel"
"172","WK195912","3810","Almkerk"
"173","WK195913","3205","Veen"
"174","WK195914","6995","Wijk en Aalburg"
"175","WK195915","465","Babyloniënbroek"
"176","WK195916","770","Meeuwen"
"177","WK195917","895","Eethen"
"178","WK195918","430","Drongelen"
"179","WK195919","1715","Genderen"
"180","WK006000","3840","Wijk 00"
"181","WK030701","5775","Stadskern"
"182","WK030702","2095","Nederberg"
"183","WK030703","12185","Soesterkwartier"
"184","WK030704","420","Eemkwartier"
"185","WK030705","105","Isselt"
"186","WK030706","3175","De Koppel"
"187","WK030707","6020","Kruiskamp"
"188","WK030708","4525","Schothorst-Zuid"
"189","WK030709","7070","Schothorst-Noord"
"190","WK030710","8345","Liendert"
"191","WK030711","3235","Rustenburg"
"192","WK030712","480","Buitengebied-Oost"
"193","WK030713","4560","Schuilenburg"
"194","WK030714","7410","Randenbroek"
"195","WK030715","6310","Vermeerkwartier"
"196","WK030716","5650","Leusderkwartier"
"197","WK030717","6265","De Berg-Zuid"
"198","WK030718","3380","De Berg-Noord"
"199","WK030719","9600","Hoogland"
"200","WK030720","7790","Zielhorst"
"201","WK030721","10635","Kattenbroek"
"202","WK030722","140","Calveen"
"203","WK030724","14440","Nieuwland"
"204","WK030725","530","De Hoef"
"205","WK030726","4870","Hooglanderveen"
"206","WK030727","540","Hoogland-West"
"207","WK030728","6585","Vathorst-De Velden"
"208","WK030729","3770","Vathorst-Centrum"
"209","WK030730","4070","Vathorst-De Bron"
"210","WK030731","10075","Vathorst-De Laak"
"211","WK030732","0","Vathorst-Bovenduist"
"212","WK030733","0","Bedrijventerrein Vathorst"
"213","WK030734","1775","Bosgebied"
"214","WK036201","6085","Randwijck"
"215","WK036202","3200","Patrimonium"
"216","WK036203","12015","Elsrijk"
"217","WK036204","3510","Stadshart"
"218","WK036205","4320","Uilenstede, Kronenburg"
"219","WK036206","10635","Bankras, Kostverloren"
"220","WK036207","845","Buitengebied Noord"
"221","WK036208","13185","Keizer Karelpark"
"222","WK036209","8380","Groenelaan"
"223","WK036210","13020","Waardhuizen, Middenhoven"
"224","WK036211","10630","Bovenkerk - Westwijk Noord"
"225","WK036212","7815","Westwijk Zuid"
"226","WK036213","1255","Buitengebied Zuid"
"227","WK036214","100","Amsterdamse Bos"
"228","WK0363AA","9180","Haarlemmerbuurt"
"229","WK0363AB","19685","Jordaan"
"230","WK0363AC","6630","Grachtengordel-West"
"231","WK0363AD","4380","Burgwallen-Nieuwe Zijde"
"232","WK0363AE","4740","Burgwallen-Oude Zijde"
"233","WK0363AF","10010","Nieuwmarkt/Lastage"
"234","WK0363AG","5875","Grachtengordel-Zuid"
"235","WK0363AH","7670","De Weteringschans"
"236","WK0363AJ","8020","Weesperbuurt/Plantage"
"237","WK0363AK","15480","Oostelijke Eilanden/Kadijken"
"238","WK0363BA","25","Havens-West"
"239","WK0363BB","1535","Coenhaven/Minervahaven"
"240","WK0363EA","1145","Sloterdijk-West"
"241","WK0363EB","10845","Spaarndammerbuurt/Zeeheldenbuurt"
"242","WK0363EC","5270","Houthavens"
"243","WK0363ED","12140","De Kolenkit"
"244","WK0363EE","18790","Landlust"
"245","WK0363EF","5740","Erasmuspark"
"246","WK0363EG","2330","Centrale Markt"
"247","WK0363EH","13005","Staatsliedenbuurt"
"248","WK0363EJ","8270","Frederik Hendrikbuurt"
"249","WK0363EK","7740","Van Galenbuurt"
"250","WK0363EL","6715","Geuzenbuurt"
"251","WK0363EM","10280","Hoofdweg e.o."
"252","WK0363EN","6000","Chassébuurt"
"253","WK0363EP","6300","Bellamybuurt"
"254","WK0363EQ","4805","Da Costabuurt"
"255","WK0363ER","6740","Westindische Buurt"
"256","WK0363ES","6925","Van Lennepbuurt"
"257","WK0363ET","7920","Overtoomse Sluis"
"258","WK0363EU","7510","Helmersbuurt"
"259","WK0363EV","1870","Vondelparkbuurt"
"260","WK0363FA","1330","Sloterdijk Nieuw-West"
"261","WK0363FB","19180","Geuzenveld"
"262","WK0363FC","10790","Slotermeer-West"
"263","WK0363FD","9260","Slotermeer-Noordoost"
"264","WK0363FE","6785","Slotermeer-Zuidoost"
"265","WK0363FF","1255","Lutkemeer/Ookmeer"
"266","WK0363FG","14385","De Aker"
"267","WK0363FH","6310","De Punt"
"268","WK0363FJ","15475","Osdorp-Midden"
"269","WK0363FK","18325","Osdorp-Oost"
"270","WK0363FL","7795","Slotervaart-Noord"
"271","WK0363FM","14685","Overtoomse Veld"
"272","WK0363FN","11270","Slotervaart-Zuid"
"273","WK0363FP","13250","Westlandgracht"
"274","WK0363FQ","14630","Sloten/Nieuw-Sloten"
"275","WK0363KA","11875","Hoofddorppleinbuurt"
"276","WK0363KB","3865","Schinkelbuurt"
"277","WK0363KC","5565","Willemspark"
"278","WK0363KD","12735","Museumkwartier"
"279","WK0363KE","15035","Oude Pijp"
"280","WK0363KF","12650","Nieuwe Pijp"
"281","WK0363KG","7920","Zuid Pijp"
"282","WK0363KH","11855","Stadionbuurt"
"283","WK0363KJ","8770","Apollobuurt"
"284","WK0363KK","15225","Scheldebuurt"
"285","WK0363KL","5200","IJselbuurt"
"286","WK0363KM","8950","Rijnbuurt"
"287","WK0363KN","1365","Prinses Irenebuurt e.o."
"288","WK0363KP","5255","Zuidas"
"289","WK0363KQ","14410","Buitenveldert-West"
"290","WK0363KR","8240","Buitenveldert-Oost"
"291","WK0363MA","20555","Oostelijk Havengebied"
"292","WK0363MB","5925","Weesperzijde"
"293","WK0363MC","10715","Oosterparkbuurt"
"294","WK0363MD","8770","Transvaalbuurt"
"295","WK0363ME","10130","Dapperbuurt"
"296","WK0363MF","12145","Indische Buurt-West"
"297","WK0363MG","9900","Indische Buurt-Oost"
"298","WK0363MH","5750","Zeeburgereiland/Bovendiep"
"299","WK0363MJ","16340","IJburg-West"
"300","WK0363MK","1130","IJburg-Oost"
"301","WK0363ML","8490","IJburg-Zuid"
"302","WK0363MM","13350","Frankendael"
"303","WK0363MN","15515","Middenmeer"
"304","WK0363MP","3010","Betondorp"
"305","WK0363MQ","5935","Omval/Overamstel"
"306","WK0363NA","9075","Oostzanerwerf"
"307","WK0363NB","10435","Noordelijke IJ-oevers-West"
"308","WK0363NC","12135","Tuindorp Oostzaan"
"309","WK0363ND","3595","Kadoelen"
"310","WK0363NE","14735","Banne Buiksloot"
"311","WK0363NF","1690","Nieuwendammerdijk/Buiksloterdijk"
"312","WK0363NG","5350","Elzenhagen"
"313","WK0363NH","12070","Buikslotermeer"
"314","WK0363NJ","14180","Waterlandpleinbuurt"
"315","WK0363NK","9460","Volewijck"
"316","WK0363NL","7875","IJplein/Vogelbuurt"
"317","WK0363NM","1905","Tuindorp Buiksloot"
"318","WK0363NN","3460","Tuindorp Nieuwendam"
"319","WK0363NP","415","Noordelijke IJ-oevers-Oost"
"320","WK0363NQ","2390","Waterland"
"321","WK0363SA","1705","Driemond"
"322","WK0363SB","5470","Bloemendalerpolder"
"323","WK0363SC","8000","Weesp-Noordwest"
"324","WK0363SD","5770","Weesp Binnenstad/Zuid"
"325","WK0363SE","4355","Aetsveld/Oostelijke Vechtoever"
"326","WK0363TA","3870","Amstel III/Bullewijk"
"327","WK0363TB","8490","Venserpolder"
"328","WK0363TC","9655","Amsterdamse Poort e.o."
"329","WK0363TD","7610","H-buurt"
"330","WK0363TE","7725","Ganzenhoef e.o."
"331","WK0363TF","7180","Geerdinkhof/Kantershof"
"332","WK0363TG","7770","Bijlmermuseum"
"333","WK0363TH","7465","K-buurt"
"334","WK0363TJ","9695","Holendrecht"
"335","WK0363TK","3110","Nellestein"
"336","WK0363TL","8590","Reigersbos"
"337","WK0363TM","11190","Gein"
"338","WK020001","8065","Centrum"
"339","WK020002","21955","West"
"340","WK020003","15655","Zuidwest"
"341","WK020004","18555","Zuid"
"342","WK020005","25285","Zuidoost"
"343","WK020006","19175","Oost"
"344","WK020007","26235","Noordoost"
"345","WK020008","13275","Noord"
"346","WK020010","3400","Uddel en omgeving"
"347","WK020011","355","Hoog Soeren en Radio Kootwijk"
"348","WK020012","1460","Hoenderloo en omgeving"
"349","WK020013","3330","Loenen en omgeving"
"350","WK020014","4960","Beekbergen en omgeving"
"351","WK020015","1325","Lieren en omgeving"
"352","WK020016","1985","Klarenbeek en omgeving"
"353","WK020017","3185","Wenum Wiesel Beemte"
"354","WK020201","7465","Centrum"
"355","WK020202","6880","Spijkerkwartier"
"356","WK020203","6555","Arnhemse Broek"
"357","WK020204","8885","Presikhaaf-West"
"358","WK020205","7535","Presikhaaf-Oost"
