name,c00_infant_mortality_educ,c00_neonatal_mortality_educ,c00_perinatal_mortality_educ,c00_preterm_birth_educ,c00_sga_educ,c11_class_foreign_born_parents_educ,c11_class_havo_test_educ,c11_class_income_above_75th_educ,c11_class_income_below_25th_educ,c11_class_income_below_50th_educ,c11_class_language_educ,c11_class_math_educ,c11_class_reading_educ,c11_class_size_educ,c11_class_vmbo_gl_test_educ,c11_class_vwo_test_educ,c11_havo_final_educ,c11_havo_test_educ,c11_language_educ,c11_living_space_pp_educ,c11_math_educ,c11_over_advice_educ,c11_reading_educ,c11_under_advice_educ,c11_vmbo_gl_final_educ,c11_vmbo_gl_test_educ,c11_vwo_final_educ,c11_vwo_test_educ,c11_youth_health_costs_educ,c11_youth_protection_educ,c16_havo_income,c16_living_space_pp_income,c16_secondary_class_foreign_born_parents_income,c16_secondary_class_income_above_75th_income,c16_secondary_class_income_below_25th_income,c16_secondary_class_income_below_50th_income,c16_vmbo_gl_income,c16_vwo_income,c16_youth_health_costs_income,c16_youth_protection_income,c21_hbo_followed_income,c21_high_school_attained_income,c21_living_with_parents_income,c21_uni_followed_income,c21_young_parents_income,c30_age_left_parents_income,c30_basic_mhc_income,c30_debt_income,c30_disability_income,c30_employed_income,c30_gifts_received_income,c30_hbo_attained_income,c30_homeowner_income,c30_home_wealth_income,c30_hospital_income,c30_hourly_wage_income,c30_hourly_wage_max_11_income,c30_hourly_wage_max_14_income,c30_household_income_income,c30_household_income_perc_income,c30_hrs_work_pw_income,c30_income_income,c30_income_perc_income,c30_living_space_pp_income,c30_permanent_contract_income,c30_pharma_income,c30_social_assistance_income,c30_specialist_mhc_income,c30_sum_gifts_income,c30_total_health_costs_income,c30_wealth_income,c30_wealth_no_home_income,c30_wo_attained_income
's-Gravenhage,0.54,0.46,0.39,6.99,13.79,34.23,46.17,26.24,38.64,56.26,55.43,42.77,66.16,25.0,71.13,18.31,47.01,46.98,55.34,29.6,42.31,12.2,66.22,6.27,71.08,71.91,20.02,18.58,811.0,0.95,47.54,31.8,34.57,26.5,37.59,55.48,83.96,22.46,997.0,1.82,50.29,77.51,74.08,19.51,0.84,22.4,9.19,15425.0,3.7,78.15,3.13,37.14,54.2,27227.0,56.67,20.05,7.68,22.94,80946.116,44.24,30.5,42761.414,45.16,38.5,67.5,67.28,6.61,7.0,2751.0,1220.0,64006.0,36779.0,15.32
's-Hertogenbosch,0.52,0.42,0.32,6.38,12.52,10.22,47.48,34.44,22.46,41.93,55.89,43.56,70.45,25.0,72.16,19.05,48.48,48.11,55.89,35.7,43.27,14.13,70.87,7.48,76.23,73.05,19.7,19.5,710.0,1.12,49.07,37.9,9.37,32.3,21.74,43.09,87.32,23.22,975.0,1.89,53.41,80.59,72.48,19.37,0.45,23.3,8.1,12663.0,3.95,84.86,4.84,39.86,63.37,32666.0,52.49,20.49,6.28,20.94,87611.452,49.25,30.8,46622.594,49.04,45.1,68.75,61.55,2.62,5.92,3204.0,1137.0,80508.0,47841.0,15.72
Aalten,0.54,0.49,,6.17,9.41,2.1,47.34,12.63,23.9,60.34,55.64,40.63,70.33,23.0,73.02,18.0,43.14,48.46,55.28,39.7,39.44,8.44,71.22,14.81,69.45,74.49,13.15,17.89,1028.0,,41.39,40.9,3.01,12.03,24.81,60.23,85.41,16.02,1109.0,0.71,50.38,85.74,73.76,10.75,,23.4,5.75,12504.0,1.9,90.14,6.89,39.95,77.51,24440.0,47.47,19.95,5.09,17.99,88175.037,48.93,31.1,46742.848,49.32,51.1,76.92,54.42,1.26,3.92,6264.0,1107.0,83962.0,59522.0,13.78
Achtkarspelen,0.53,0.49,0.38,7.32,8.42,0.55,49.69,8.4,33.65,71.71,53.54,47.92,68.01,22.0,75.66,19.03,38.85,49.39,51.85,38.7,46.3,5.0,67.22,23.36,66.31,76.24,10.92,18.71,543.0,1.01,34.65,42.1,0.94,10.3,33.17,68.48,85.05,12.07,871.0,1.76,45.09,83.3,73.21,10.56,0.98,23.4,6.16,10774.0,2.04,87.89,3.44,33.51,75.25,26382.0,50.16,19.2,6.15,22.37,79631.78,44.71,29.4,41915.271,45.09,51.2,70.45,58.72,2.24,4.91,1824.0,815.0,76640.0,50257.0,10.44
Alblasserdam,0.45,,,5.95,8.68,3.39,45.6,21.16,18.26,48.58,57.21,43.2,73.38,26.0,73.27,17.82,45.79,46.79,57.7,26.1,42.97,11.22,72.96,13.83,77.06,74.18,17.06,18.26,626.0,,45.67,28.6,6.46,23.12,19.38,46.68,88.43,19.0,847.0,0.9,46.61,85.85,82.42,13.0,,24.0,5.87,14389.0,4.15,84.72,3.54,34.51,73.67,20731.0,47.77,20.97,4.14,14.93,90376.475,52.03,31.1,46600.364,50.1,39.6,74.65,61.23,1.42,4.35,1976.0,910.0,72287.0,51556.0,12.04
Albrandswaard,0.53,,,7.04,13.06,8.68,50.48,43.49,12.98,28.92,61.33,45.9,73.99,25.0,76.62,21.41,51.25,51.04,60.61,37.8,45.68,13.39,73.58,8.74,82.71,77.12,21.13,22.0,708.0,,53.69,39.3,17.89,30.11,22.54,42.52,91.83,22.0,877.0,,58.08,85.22,81.42,18.78,,23.9,6.42,17493.0,1.54,90.36,8.24,47.49,78.87,26262.0,55.31,23.01,2.61,11.26,102165.547,58.59,32.3,56257.727,58.85,46.3,72.43,61.03,,4.89,6825.0,916.0,96703.0,70442.0,19.41
Alkmaar,0.63,0.54,0.52,6.41,10.12,9.19,50.83,24.31,22.14,47.63,58.48,46.39,77.28,25.0,75.27,20.61,47.79,50.54,57.47,31.4,45.3,10.19,76.85,11.0,74.9,74.8,20.26,20.48,701.0,1.31,48.28,33.0,7.66,26.01,20.39,45.87,86.98,20.6,820.0,1.81,51.12,82.14,75.5,18.22,0.58,23.2,7.69,14747.0,3.53,84.86,3.78,41.93,66.5,27536.0,50.05,20.59,5.67,18.53,87318.861,49.32,30.8,46524.561,49.67,43.3,70.39,56.58,2.07,5.01,2341.0,959.0,77697.0,50160.0,16.73
Almelo,0.53,0.39,0.38,7.74,11.87,11.32,42.13,14.67,33.56,62.73,53.61,38.83,63.88,23.0,68.91,15.77,39.2,42.41,52.77,33.5,37.71,9.21,63.35,15.55,66.54,69.21,14.47,15.54,743.0,1.83,38.43,35.9,9.67,16.87,29.56,59.04,81.24,12.86,1225.0,2.15,49.69,80.74,71.23,13.06,0.77,22.7,9.44,13930.0,4.9,79.85,3.42,37.07,66.24,15767.0,54.34,19.44,7.91,24.96,81550.019,44.17,30.4,42579.141,45.08,46.6,67.82,65.94,4.54,7.07,2098.0,1169.0,58878.0,43112.0,13.55
Almere,0.57,0.47,0.41,7.5,12.92,25.53,44.02,20.36,29.77,54.33,54.14,42.59,68.42,25.0,69.8,16.52,43.9,44.22,53.28,34.1,41.55,11.33,68.21,12.65,67.86,70.29,17.84,16.52,871.0,1.05,42.65,33.6,26.34,22.01,27.97,51.78,83.86,16.49,1144.0,1.43,49.17,79.13,78.56,14.44,0.75,23.5,7.53,15712.0,3.23,83.57,1.76,36.78,67.29,27336.0,53.51,20.15,6.12,20.89,86133.755,47.99,31.6,46543.115,49.39,44.7,67.83,60.29,3.35,5.44,915.0,1122.0,60808.0,33472.0,13.44
Alphen aan den Rijn,0.46,0.39,0.32,6.48,9.29,8.64,46.47,26.69,18.14,44.68,53.23,45.86,69.35,24.0,72.16,17.92,50.24,47.24,53.15,31.5,45.59,14.56,70.05,7.75,79.48,73.85,21.25,18.53,751.0,0.78,51.62,33.5,7.84,28.43,17.63,43.32,89.4,21.85,935.0,1.02,54.84,82.72,77.52,19.22,0.41,23.4,6.73,13519.0,1.79,88.84,5.15,45.53,71.4,31723.0,48.91,21.53,4.03,15.19,95417.858,53.59,31.6,50713.662,53.93,43.6,72.99,57.82,1.77,4.81,3284.0,974.0,103510.0,71788.0,17.94
Altena,0.64,0.58,0.55,6.44,8.77,1.22,49.72,20.38,17.55,52.02,55.07,44.32,72.78,23.0,74.32,18.7,45.39,50.63,55.12,35.7,43.87,8.28,73.12,15.7,73.08,75.12,15.74,19.04,693.0,0.4,40.31,38.1,1.85,21.5,17.43,49.66,87.46,15.23,1004.0,0.76,47.86,87.35,80.38,13.74,0.37,24.5,5.66,14087.0,2.18,89.84,6.29,36.72,80.73,39261.0,47.09,21.02,4.21,15.54,94556.358,54.22,30.8,48985.745,52.04,46.7,75.83,59.46,0.75,3.82,6012.0,923.0,121213.0,81951.0,12.32
Amersfoort,0.51,0.5,0.44,5.98,10.96,11.71,50.99,37.25,18.92,37.84,58.41,45.99,74.89,26.0,76.71,20.75,55.03,51.56,58.02,36.3,45.06,16.25,74.9,6.66,82.25,77.14,25.58,20.82,661.0,0.82,54.75,38.3,11.09,36.01,18.86,38.54,89.14,25.45,1028.0,1.03,60.44,83.6,68.42,22.61,0.62,22.8,8.45,11837.0,3.19,84.97,4.38,44.84,64.05,38410.0,51.32,21.06,5.53,18.94,88919.129,49.98,31.1,47807.141,50.62,44.9,69.56,60.29,2.56,6.07,3060.0,1018.0,98272.0,59862.0,19.12
Amstelveen,0.34,0.3,0.24,6.73,13.01,13.44,63.35,50.02,17.77,31.36,69.47,54.54,83.21,26.0,85.13,28.3,66.77,64.45,69.6,34.5,54.28,12.59,84.32,4.88,87.53,86.42,34.5,29.14,651.0,0.39,69.25,36.5,11.87,46.45,17.53,32.4,93.07,37.03,906.0,0.54,70.64,87.32,73.53,35.43,,23.9,8.21,14178.0,2.04,87.41,9.93,53.93,63.58,76855.0,51.17,22.96,4.21,15.46,100369.973,55.07,32.0,53967.26,55.05,42.5,68.33,55.58,1.29,6.24,8091.0,841.0,147453.0,70599.0,27.72
Amsterdam,0.57,0.49,0.42,6.68,12.91,39.31,46.28,24.41,44.48,61.33,54.77,42.66,66.22,24.0,69.56,18.8,54.25,47.51,55.17,25.0,42.63,19.34,67.05,3.28,76.64,71.19,25.73,19.23,799.0,0.89,52.75,26.8,39.9,24.3,43.43,60.88,85.94,26.01,1110.0,1.5,50.78,79.07,76.02,22.35,0.58,22.9,9.83,14007.0,4.78,74.73,2.6,35.31,40.63,35497.0,55.17,19.53,8.21,25.37,76901.019,40.89,30.1,41012.857,42.87,35.1,62.82,62.4,7.83,7.43,2327.0,1228.0,83564.0,48067.0,15.34
Apeldoorn,0.6,0.55,0.52,6.11,11.21,5.74,49.42,26.28,20.61,46.74,58.53,45.67,73.69,25.0,74.05,20.4,46.71,50.0,57.69,32.7,44.57,11.52,73.72,12.51,73.63,74.75,19.53,20.55,657.0,1.48,45.89,36.1,6.45,27.4,20.75,46.27,88.06,20.67,1001.0,1.86,51.51,81.01,68.46,17.5,0.69,22.9,7.76,14575.0,2.57,85.93,4.47,44.26,69.91,28007.0,50.78,20.82,5.49,19.27,89977.038,50.62,31.0,47557.043,50.2,44.3,72.51,58.19,2.49,5.61,3466.0,1077.0,82154.0,54147.0,18.01
Arnhem,0.46,0.39,0.3,6.77,12.07,16.78,45.77,26.03,30.93,51.65,54.91,39.82,70.97,23.0,72.12,16.97,48.7,46.13,53.84,33.3,38.72,16.69,70.45,6.62,75.35,72.39,22.38,17.03,777.0,1.28,49.42,35.6,15.44,26.0,29.25,51.49,86.59,22.08,1164.0,2.05,51.19,77.71,63.7,20.51,0.67,22.5,8.67,16352.0,3.53,78.96,3.19,37.98,56.69,17121.0,52.95,19.79,8.13,26.06,79964.144,43.43,30.5,42852.353,44.98,44.4,67.33,60.07,5.97,6.18,2031.0,1000.0,63451.0,46330.0,15.7
Assen,0.45,0.38,0.33,6.53,10.09,4.74,44.83,19.19,23.5,52.09,56.23,40.28,69.25,24.0,70.78,17.48,44.14,44.47,55.82,36.8,39.29,10.85,68.87,14.26,70.5,71.02,18.75,16.84,682.0,1.38,42.28,39.6,3.58,21.43,22.29,49.96,86.09,15.67,961.0,1.5,53.38,82.43,60.08,15.97,0.63,22.2,9.49,13437.0,2.32,83.05,3.54,45.49,65.56,20552.0,49.87,19.94,6.88,22.29,81246.787,44.91,30.2,43863.045,46.68,48.3,68.0,58.4,4.7,6.83,2229.0,1066.0,53520.0,32968.0,16.95
Asten,0.84,0.84,0.76,6.54,8.55,2.26,45.63,23.53,17.75,44.61,49.23,44.42,70.68,25.0,71.0,19.45,50.2,46.24,49.4,43.2,43.95,14.9,72.06,12.69,70.85,73.46,19.16,19.7,857.0,,47.93,47.5,2.0,23.61,17.85,49.07,82.61,20.56,968.0,,57.32,86.9,78.03,16.57,,23.8,6.32,17898.0,2.43,90.37,8.07,49.03,80.35,52649.0,50.78,20.94,4.52,17.75,94359.672,54.03,31.0,48954.803,51.94,55.0,73.9,56.81,1.36,4.77,5021.0,1144.0,135259.0,82610.0,19.75
Barendrecht,0.5,0.38,0.31,6.41,11.94,12.56,49.09,39.0,15.03,32.04,53.6,45.17,72.24,27.0,74.01,19.18,49.23,50.52,54.18,34.3,44.83,13.63,72.12,8.98,77.84,74.96,22.93,20.44,792.0,,51.56,35.7,16.48,33.7,20.9,39.53,89.29,23.1,950.0,0.46,56.33,86.86,82.35,18.38,0.32,23.9,6.99,13079.0,1.94,88.17,6.64,51.76,78.74,38292.0,51.49,23.32,2.99,10.68,100489.195,57.82,32.0,55612.63,58.04,44.7,76.05,62.42,0.9,5.33,5307.0,1182.0,108484.0,70192.0,22.01
Barneveld,0.66,0.58,0.51,5.16,7.56,2.66,47.7,16.48,22.72,57.87,56.96,43.73,72.81,24.0,72.8,19.26,39.55,48.28,56.21,29.3,42.85,8.34,73.18,21.13,69.06,73.25,14.37,19.46,598.0,0.73,38.92,31.6,1.95,17.1,22.74,56.64,86.3,14.75,836.0,0.46,45.82,86.14,76.05,13.06,0.98,23.7,5.96,9715.0,2.01,87.12,5.35,34.42,79.93,53712.0,44.51,20.76,4.38,16.25,91875.072,52.73,30.7,46922.342,49.79,42.0,71.56,54.97,1.1,4.45,3543.0,766.0,148613.0,94901.0,11.1
