municipality,top_3_vars,top_3_z_scores
Bijlmermuseum,"['c00_sga_income', 'c30_social_assistance_income', 'c11_vmbo_gl_final_income']","[2.5078829247809744, 2.3041063043733674, 2.2650125798041443]"
De Kolenkit,"['c30_age_left_parents_income', 'c16_secondary_class_foreign_born_parents_income', 'c30_living_space_pp_income']","[2.2037331527835, 2.0107773741227075, 1.8077767548290575]"
Geuzenveld,"['c16_secondary_class_foreign_born_parents_income', 'c21_living_with_parents_income', 'c30_pharma_income']","[1.5768586611434916, 1.224144757288131, 1.1360239411837643]"
Hoofdweg e.o.,"['c30_household_income_perc_income', 'c30_hospital_income', 'c16_secondary_class_foreign_born_parents_income']","[1.3182140767282637, 1.2162278636372257, 0.8891384367990744]"
Landlust,"['c30_disability_income', 'c30_living_space_pp_income', 'c11_class_size_income']","[2.1051806994670526, 2.025253657665635, 1.789229922646145]"
Osdorp-Midden,"['c16_youth_health_costs_income', 'c30_age_left_parents_income', 'c16_secondary_class_foreign_born_parents_income']","[1.6772588603521308, 1.5145879694947062, 1.4276007003654454]"
Osdorp-Oost,"['c30_specialist_mhc_income', 'c30_basic_mhc_income', 'c16_secondary_class_foreign_born_parents_income']","[2.3573616418466425, 1.88805315383281, 1.349507927637691]"
Scheldebuurt,"['c11_over_advice_income', 'c30_pharma_income', 'c11_vmbo_gl_final_income']","[2.0271894758210376, 1.9655273806403784, 1.8675514783700262]"
Slotermeer-Noordoost,"['c16_secondary_class_foreign_born_parents_income', 'c30_basic_mhc_income', 'c30_specialist_mhc_income']","[1.7324144261737764, 1.727835087879692, 1.2756363634133625]"
Slotermeer-West,"['c16_secondary_class_foreign_born_parents_income', 'c11_havo_test_income', 'c30_specialist_mhc_income']","[1.8728554609986898, 1.4876822405449452, 1.464244873499165]"
Spaarndammerbuurt/Zeeheldenbuurt,"['c11_class_size_income', 'c30_pharma_income', 'c11_over_advice_income']","[2.351730299665334, 1.4994869867100307, 1.4583938108038004]"
Venserpolder,"['c11_vmbo_gl_final_income', 'c11_math_income', 'c00_sga_income']","[2.132144411450603, 2.089472606204489, 2.0777328607116234]"
Waterlandpleinbuurt,"['c11_havo_test_income', 'c11_math_income', 'c11_reading_income']","[1.4477045016623764, 1.4191025888300874, 1.338457675269678]"
Weesp-Noordwest,"['c11_over_advice_income', 'c11_under_advice_income', 'c30_pharma_income']","[2.8347153786831485, 2.67195593280838, 1.7030262922047374]"
Volewijck,"['c30_disability_income', 'c30_basic_mhc_income', 'c21_living_with_parents_income']","[2.131757391958503, 1.7658088502646843, 1.7315960686533098]"
